"PagSeguro - General Settings - Ricardo Martins","PagSeguro - Ajustes Gerais - Ricardo Martins"
"Need help? - <a href=""https://pagseguro.ricardomartins.net.br/"" target=""_blank"">Official site of the module</a> | <a href=""//pagsegurotransparente.zendesk.com/hc/pt-br"" target=""_blank"">Help Center</a>.<br/> To use this module you need to get your free unlimited public key <a href=""https://pagseguro.ricardomartins.net.br/woocommerce/wizard.html"" target=""_blank""><strong>authorizing your PagSeguro account</strong></a> in the application model.","Precisa de ajuda? - <a href=""https://pagseguro.ricardomartins.net.br/"" target=""_blank"">Site oficial do módulo</a> | <a href=""//pagsegurotransparente.zendesk.com/hc/pt-br"" target=""_blank"">Central de ajuda</a>.<br/> Para usar este módulo você deve obter sua chave gratuita e ilimitada <a href=""https://pagseguro.ricardomartins.net.br/woocommerce/wizard.html"" target=""_blank""><strong>autorizando sua conta PagSeguro</strong></a> no modelo de aplicação."
"Store email (seller account)","E-mail da loja (seu e-mail da conta PagSeguro)"
"The token is fetched from your PagSeguro account panel. When you save this page, it will be encrypted, appearing to be a smaller size.","O token é obtido na sua conta PagSeguro. Ao salvar estas configurações, o token será criptografado, aparentando ter um tamanho menor."
"The token is fetched from your PagSeguro account panel.","O token é obtido na sua conta PagSeguro."
"Get your public key for free when <a href=""//r-martins.github.io/PagSeguro-Magento-Transparente/pro/app.html"" target=""_blank"">enabling your account</a>.","Obtenha a chave publica gratuita e ilimitada ao <a href=""//r-martins.github.io/PagSeguro-Magento-Transparente/pro/app.html"" target=""_blank"">autorizar sua conta</a>."
"Public Key","Chave do Módulo"
"Debug","Debugar"
"See the log output in var/log/pagseguro.log. It is recommended that you enable logging for information about any issues.","Veja os logs em var/log/pagseguro.log. É recomendado que habilite os logs sempre que tiver com algum tipo de problema."
"Send invoice email?","Enviar e-mail de fatura?"
"Shoot the invoice email from the store upon receipt of payment confirmation from PagSeguro.","Enviar e-mail de fatura quando receber a confirmação de pagamento do PagSeguro."
"Customer CPF","CPF do Cliente"
"Attribute Delivery Street","Atributo Rua"
"Attribute Number","Atributo Número"
"Attribute Complement","Atributo Complemento"
"If your store uses a custom attribute for Delivery Street, select here.","Se a sua loja usa um atributo personalizado para Rua de Entrega, especifique o atributo aqui."
"If your store uses a custom attribute for the 'Number' field, select here.","Se a sua loja usa um atributo personalizado para Número de Entrega, especifique o atributo aqui."
"If your store uses a custom attribute for the 'Complement' field of delivery, select here. You can omit this information from PagSeguro.","Se a sua loja usa um atributo personalizado para Complemento de Entrega, especifique o atributo aqui. Você pode omitir esta informação do PagSeguro."
"If your store uses a custom attribute for the Delivery Neighborhood field, select here.","Se a sua loja usa um atributo personalizado para Bairro de Entrega, especifique o atributo aqui."
"PagSeguro - Credit Card - Ricardo Martins","PagSeguro - Cartão de Crédito - Ricardo Martins"
"New Order Status","Status para novos Pedidos"
"Card Brand Size","Tamanho da bandeira do cartão"
"Show notice that the transaction is made in Brazil","Exibir aviso que a transação é feita no Brasil."
"This information MUST contain on your checkout by Visa determination.","Esta informação DEVE conter em seu checkout por determinação da Visa."
"Sort Order","Posição"
"Date of birth of the credit card owner is mandatory for PagSeguro.","Data de nascimento do dono do cartão de crédito é obrigatório para o PagSeguro."
"Title","Nome de exibição"
"Enable group restriction","Habilitar restrição por grupos"
"Customer Groups","Grupos de Cliente"
"Display total amount in the installment selector","Exibir total do pedido no seletor de parcelas"
"When enabled, the total order value is displayed along with the parceling information.","Quando habilitado o valor total do pedido é exibido junto às informações de cada parcela."
"Force parcel selection","Forçar seleção de parcela"
"When enabled, it will force the customer to select the installments amount instead of leaving payment to the pre-selected view.","Quando habilitado, forçará o cliente a selecionar uma quantidade de parcelas, ao invés de deixar o valor padrão."
"No","Não"
"Yes","Sim"
"Enabled","Habilitado"
"Disabled","Desabilitado"
"Show text only","Exibir apenas texto"
"Client groups that can use this method.","Grupos de clientes que podem usar este meio de pagamento."
"Ask for it in the credit card form","Pedir junto com os dados de cartão"
"Ask for it in the payment form","Pedir junto com os dados de pagamento"
"Do not Report to PagSeguro","Não informar ao PagSeguro"
